AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_STATE_CODE,LATITUDE,LONGITUDE
10001,01A,"Afognak Lake, AK",AK,58.10944444,-152.90666667
10003,03A,"Granite Mountain, AK",AK,65.54805556,-161.07166667
10004,04A,"Lik, AK",AK,68.08333333,-163.16666667
10005,05A,"Little Squaw, AK",AK,67.57,-148.18388889
10006,06A,"Kizhuyak, AK",AK,57.74527778,-152.88277778
10007,07A,"Klawock, AK",AK,55.55472222,-133.10166667
10008,08A,"Elizabeth Island, AK",AK,59.15694444,-151.82916667
10009,09A,"Homer, AK",AK,59.36277778,-153.43055556
10010,1B1,"Hudson, NY",NY,42.28888889,-73.71027778
10010,1B1,"Hudson, NY",NY,42.29138889,-73.71027778
10011,1G4,"Peach Springs, AZ",AZ,35.99027778,-113.81638889
10011,1G4,"Peach Springs, AZ",AZ,35.98611111,-113.81694444
10012,1N7,"Blairstown, NJ",NJ,40.97111111,-74.9975
10013,8F3,"Crosbyton, TX",TX,33.62388889,-101.24083333
10014,A01,"Fairbanks/Ft. Wainwright, AK",AK,64.36416667,-147.36138889
10014,A01,"Fairbanks/Ft. Wainwright, AK",AK,64.36361111,-147.36388889
10015,A02,"Deadmans Bay, AK",AK,57.06666667,-153.93777778
10016,A03,"Hallo Bay, AK",AK,58.4575,-154.02333333
10017,A04,"Red Lake, AK",AK,57.27722222,-154.34222222
10018,A05,"Shell Lake, AK",AK,61.96388889,-151.55583333
10019,A06,"Kougarok, AK",AK,65.65555556,-165.35638889
10020,A07,"Selawik, AK",AK,66.76583333,-160.1525
10020,A07,"Selawik, AK",AK,66.76611111,-160.15277778
10021,A08,"Pillar Bay, AK",AK,56.59805556,-134.24277778
10022,JOH,"Johnstone Point, AK",AK,60.48138889,-146.58222222
10022,A09,"Johnstone Point, AK",AK,60.48222222,-146.58222222
10022,A09,"Johnstone Point, AK",AK,60.48166667,-146.58416667
10023,TLK,"Tikchik Lodge, AK",AK,59.95555556,-158.48055556
10023,KTH,"Tikchik Lodge, AK",AK,59.95555556,-158.48055556
10024,A11,"Bell Creek, AK",AK,60.78388889,-159.54027778
10025,A12,"Cinnabar, AK",AK,60.78527778,-158.86444444
10026,A13,"Mountaintop Mine, AK",AK,61.39027778,-157.99555556
10027,A14,"Whitebear, AK",AK,61.18888889,-159.85833333
10028,A15,"Puviaq, AK",AK,70.71861111,-154.38833333
10028,A15,"Puviaq, AK",AK,70.71555556,-154.40694444
10029,A16,"Arley Lake, AK",AK,70.74694444,-155.36083333
10030,A17,"Port Vita, AK",AK,58.06555556,-153.0725
10031,A18,"Kantishna, AK",AK,63.54166667,-150.99388889
10031,A18,"Kantishna, AK",AK,63.54111111,-150.995
10033,A20,"Alpine, AK",AK,70.34416667,-150.94472222
10034,A21,"Serpentine, AK",AK,65.85138889,-164.70277778
10035,A22,"Driftwood Bay, AK",AK,53.97277778,-166.85694444
10036,A23,"Bradley Lake, AK",AK,59.77611111,-151.96361111
10037,A24,"Chilkat Lake, AK",AK,59.33166667,-135.89666667
10038,A25,"Nugget Creek, AK",AK,59.28833333,-136.17388889
10039,A26,"Ivotuk, AK",AK,68.48333333,-155.73333333
10040,A27,"Pogo Mines, AK",AK,64.44,-144.93638889
10041,A28,"Ayakulik River, AK",AK,57.25388889,-154.42222222
10042,A29,"Kiluda Bay, AK",AK,57.32305556,-153.14944444
10043,A30,"Terror Lake, AK",AK,57.96388889,-153.05833333
10044,A31,"Selief Bay, AK",AK,58.98277778,-153.18333333
10047,A34,"Laura Lake, AK",AK,58.36194444,-152.31222222
10049,A36,"Deep Bay, AK",AK,55.56027778,-131.65555556
10050,A37,"Kako, AK",AK,61.89888889,-161.43805556
10050,A37,"Kako, AK",AK,61.89888889,-161.43972222
10051,A38,"Molly Creek, AK",AK,64.09722222,-143.26666667
10052,A39,"Ptarmigan Lake, AK",AK,61.86611111,-141.15972222
10053,A40,"Cape Simpson, AK",AK,71.05694444,-154.72833333
10054,A41,"Kogru River, AK",AK,70.57611111,-152.27111111
10054,A41,"Kogru River, AK",AK,70.57472222,-152.25888889
10055,A42,"Teshepkuk Lake, AK",AK,70.35833333,-153.19666667
10056,A43,"Kodiak Island, AK",AK,57.78083333,-152.39111111
10058,A45,"Lake Florence, AK",AK,57.81666667,-134.58333333
10059,A46,"Lake Hasselborg, AK",AK,57.7,-134.26666667
10060,A47,"Distin Lake, AK",AK,57.61666667,-134.36666667
10061,A48,"Port Hobron, AK",AK,57.15,-153.15
10062,A49,"Mooseville Airstrip, AK",AK,70.28444444,-152.21194444
10063,A50,"Big Bay, AK",AK,58.5625,-152.59611111
10064,A51,"Wien Lake, AK",AK,64.35277778,-151.275
10065,A52,"Silver Salmon Creek, AK",AK,59.96388889,-152.68222222
10066,A53,"Blear Lake, AK",AK,64.33333333,-147.5
10067,A54,"Cannery Bay, AK",AK,53.68333333,-166.75
10069,A56,"Bear Lake, AK",AK,56.03666667,-160.26611111
10070,VZK,"International Seafoods, AK",AK,58.26666667,-157.53333333
10070,A57,"International Seafoods, AK",AK,58.26666667,-157.53333333
10071,A58,"Cosna River, AK",AK,64.5,-151.66666667
10072,A59,"Ivatuk, AK",AK,68.48777778,-155.7575
10074,A61,"Cape Sarichef, AK",AK,54.58333333,-164.9125
10074,A61,"Cape Sarichef, AK",AK,54.5825,-164.91444444
10075,A62,"Taylor Mountain Mine, AK",AK,60.86777778,-157.39194444
10076,A63,"Yukon Charley Rivvers, AK",AK,65.31111111,-143.13527778
10076,A63,"Yukon Charley Rivvers, AK",AK,65.31138889,-143.13555556
10076,A63,"Yukon Charley Rivvers, AK",AK,65.31166667,-143.13416667
10078,A65,"Karluk Portage, AK",AK,57.53833333,-154.16444444
10079,A66,"Hope, AK",AK,60.90555556,-149.62388889
10079,A66,"Hope, AK",AK,60.90416667,-149.62388889
10079,A66,"Hope, AK",AK,60.90722222,-149.62277778
10080,A67,"Viekoda Bay, AK",AK,57.84944444,-153.11527778
10082,A69,"Cold Bay, AK",AK,55.74,-162.12527778
10083,A70,"Village Islands, AK",AK,57.77416667,-153.54472222
10084,A71,"Homer, AK",AK,59.73833333,-151.03
10085,A72,"Chinitna Bay, AK",AK,59.83333333,-152.58472222
10086,A73,"McKinley Park, AK",AK,63.7325,-148.91055556
10087,A74,"Nanwalek, AK",AK,59.24111111,-151.87722222
10088,A75,"Malina Bay, AK",AK,58.17194444,-152.89416667
10089,A76,"Red Fox Bay, AK",AK,58.46444444,-152.59305556
10090,A77,"Shearwater, AK",AK,57.34333333,-152.89722222
10091,A78,"Cape Simpson, AK",AK,71.03,-154.44361111
10092,A79,"Cape Simpson, AK",AK,71.50166667,-154.03388889
10093,A80,"Cape Simpson, AK",AK,70.57388889,-155.32138889
10094,A81,"Aglaq, AK",AK,70.66277778,-154.83666667
10095,A82,"Nikiski, AK",AK,60.69027778,-151.28888889
10096,A83,"Petrof Point, AK",AK,59.37638889,-150.765
10097,A84,"Denali, AK",AK,63.75555556,-147.93
10098,A85,"Big River, AK",AK,61.85944444,-154.27666667
10100,A87,"Carry Inlet, AK",AK,58.58305556,-152.44583333
10102,A89,"Montague Island, AK",AK,59.925,-147.51666667
10103,A90,"Shannon Pond, AK",AK,59.03916667,-158.46388889
10104,A91,"Omalik Lagoon, AK",AK,69.15555556,-163.49722222
10105,A92,"Omolik Lagoon, AK",AK,69.14805556,-163.51027778
10106,A93,"Bradley Lake Project, AK",AK,59.79166667,-151.26666667
10107,A94,"Barrow, AK",AK,70.57416667,-155.31805556
10108,A95,"Barrow, AK",AK,70.31194444,-153.24916667
10109,A96,"Barrow, AK",AK,70.98083333,-157.095
10110,A97,"Akulik, AK",AK,68.98555556,-163.47972222
10111,A98,"Deadfall, AK",AK,69.17083333,-163.25638889
10112,A99,"Eagle Creek, AK",AK,68.67666667,-162.64694444
10113,AA1,"Bethel, AK",AK,59.95277778,-162.61694444
10116,AA4,"Kachemak Bay, AK",AK,59.63333333,-151.20833333
10117,AA5,"Selby Lake, AK",AK,66.95583333,-155.615
10122,AAF,"Apalachicola, FL",FL,29.7275,-85.0275
10122,AAF,"Apalachicola, FL",FL,29.7275,-85.0275
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,40.65472222,-75.43833333
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,40.65222222,-75.44027778
10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,40.65222222,-75.44055556
10136,ABI,"Abilene, TX",TX,32.40944444,-99.67972222
10136,ABI,"Abilene, TX",TX,32.41111111,-99.68166667
10136,ABI,"Abilene, TX",TX,32.41138889,-99.68194444
10139,ABL,"Ambler, AK",AK,67.0875,-157.84583333
10140,ABQ,"Albuquerque, NM",NM,35.04166667,-106.60638889
10140,ABQ,"Albuquerque, NM",NM,35.04027778,-106.60916667
10140,ABQ,"Albuquerque, NM",NM,35.03888889,-106.60833333
10141,ABR,"Aberdeen, SD",SD,45.44972222,-98.42166667
10141,ABR,"Aberdeen, SD",SD,45.44916667,-98.42194444
10141,ABR,"Aberdeen, SD",SD,45.44833333,-98.4225
10146,ABY,"Albany, GA",GA,31.53222222,-84.19611111
10146,ABY,"Albany, GA",GA,31.53555556,-84.19444444
10149,ACB,"Bellaire, MI",MI,44.98472222,-85.19916667
10149,ACB,"Bellaire, MI",MI,44.98861111,-85.19833333
10154,ACK,"Nantucket, MA",MA,41.25666667,-70.05972222
10154,ACK,"Nantucket, MA",MA,41.25305556,-70.06027778
10154,ACK,"Nantucket, MA",MA,41.25305556,-70.06
10155,ACT,"Waco, TX",TX,31.61138889,-97.22861111
10155,ACT,"Waco, TX",TX,31.61222222,-97.23027778
10157,ACV,"Arcata/Eureka, CA",CA,40.97916667,-124.1075
10157,ACV,"Arcata/Eureka, CA",CA,40.97805556,-124.10861111
10157,ACV,"Arcata/Eureka, CA",CA,40.97777778,-124.10833333
10158,ACY,"Atlantic City, NJ",NJ,39.45611111,-74.57805556
10158,ACY,"Atlantic City, NJ",NJ,39.45666667,-74.57777778
10158,ACY,"Atlantic City, NJ",NJ,39.4575,-74.57805556
