Date,Start (ET),Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes
October,,,,,,,,
"Tue, Oct 27, 2015",8:00 pm,Box Score,Detroit Pistons,106.0,Atlanta Hawks,94.0,,
"Tue, Oct 27, 2015",8:00 pm,Box Score,Cleveland Cavaliers,95.0,Chicago Bulls,97.0,,
"Tue, Oct 27, 2015",10:30 pm,Box Score,New Orleans Pelicans,95.0,Golden State Warriors,111.0,,
"Wed, Oct 28, 2015",7:30 pm,Box Score,Philadelphia 76ers,95.0,Boston Celtics,112.0,,
"Wed, Oct 28, 2015",7:30 pm,Box Score,Chicago Bulls,115.0,Brooklyn Nets,100.0,,
"Wed, Oct 28, 2015",7:30 pm,Box Score,Utah Jazz,87.0,Detroit Pistons,92.0,,
"Wed, Oct 28, 2015",8:00 pm,Box Score,Denver Nuggets,105.0,Houston Rockets,85.0,,
"Wed, Oct 28, 2015",10:30 pm,Box Score,Minnesota Timberwolves,112.0,Los Angeles Lakers,111.0,,
"Wed, Oct 28, 2015",8:00 pm,Box Score,Cleveland Cavaliers,106.0,Memphis Grizzlies,76.0,,
"Wed, Oct 28, 2015",7:30 pm,Box Score,Charlotte Hornets,94.0,Miami Heat,104.0,,
"Wed, Oct 28, 2015",8:00 pm,Box Score,New York Knicks,122.0,Milwaukee Bucks,97.0,,
"Wed, Oct 28, 2015",8:00 pm,Box Score,San Antonio Spurs,106.0,Oklahoma City Thunder,112.0,,
"Wed, Oct 28, 2015",7:00 pm,Box Score,Washington Wizards,88.0,Orlando Magic,87.0,,
"Wed, Oct 28, 2015",10:00 pm,Box Score,Dallas Mavericks,111.0,Phoenix Suns,95.0,,
"Wed, Oct 28, 2015",10:00 pm,Box Score,New Orleans Pelicans,94.0,Portland Trail Blazers,112.0,,
"Wed, Oct 28, 2015",10:00 pm,Box Score,Los Angeles Clippers,111.0,Sacramento Kings,104.0,,
"Wed, Oct 28, 2015",7:30 pm,Box Score,Indiana Pacers,99.0,Toronto Raptors,106.0,,
"Thu, Oct 29, 2015",7:00 pm,Box Score,Memphis Grizzlies,112.0,Indiana Pacers,103.0,,
"Thu, Oct 29, 2015",10:30 pm,Box Score,Dallas Mavericks,88.0,Los Angeles Clippers,104.0,,
"Thu, Oct 29, 2015",8:00 pm,Box Score,Atlanta Hawks,112.0,New York Knicks,101.0,,
"Fri, Oct 30, 2015",8:00 pm,Box Score,Charlotte Hornets,94.0,Atlanta Hawks,97.0,,
"Fri, Oct 30, 2015",7:30 pm,Box Score,Toronto Raptors,113.0,Boston Celtics,103.0,,
"Fri, Oct 30, 2015",7:00 pm,Box Score,Miami Heat,92.0,Cleveland Cavaliers,102.0,,
