game_id,date,away_team,away_points,home_team,home_points,away_rest,home_rest,winning_team
1,2015-10-27,Detroit Pistons,106.0,Atlanta Hawks,94.0,,,Detroit Pistons
2,2015-10-27,Cleveland Cavaliers,95.0,Chicago Bulls,97.0,,,Chicago Bulls
3,2015-10-27,New Orleans Pelicans,95.0,Golden State Warriors,111.0,,,Golden State Warriors
4,2015-10-28,Philadelphia 76ers,95.0,Boston Celtics,112.0,,,Boston Celtics
5,2015-10-28,Chicago Bulls,115.0,Brooklyn Nets,100.0,0.0,,Chicago Bulls
6,2015-10-28,Utah Jazz,87.0,Detroit Pistons,92.0,,0.0,Detroit Pistons
7,2015-10-28,Denver Nuggets,105.0,Houston Rockets,85.0,,,Denver Nuggets
8,2015-10-28,Minnesota Timberwolves,112.0,Los Angeles Lakers,111.0,,,Minnesota Timberwolves
9,2015-10-28,Cleveland Cavaliers,106.0,Memphis Grizzlies,76.0,0.0,,Cleveland Cavaliers
10,2015-10-28,Charlotte Hornets,94.0,Miami Heat,104.0,,,Miami Heat
11,2015-10-28,New York Knicks,122.0,Milwaukee Bucks,97.0,,,New York Knicks
12,2015-10-28,San Antonio Spurs,106.0,Oklahoma City Thunder,112.0,,,Oklahoma City Thunder
13,2015-10-28,Washington Wizards,88.0,Orlando Magic,87.0,,,Washington Wizards
14,2015-10-28,Dallas Mavericks,111.0,Phoenix Suns,95.0,,,Dallas Mavericks
15,2015-10-28,New Orleans Pelicans,94.0,Portland Trail Blazers,112.0,0.0,,Portland Trail Blazers
16,2015-10-28,Los Angeles Clippers,111.0,Sacramento Kings,104.0,,,Los Angeles Clippers
17,2015-10-28,Indiana Pacers,99.0,Toronto Raptors,106.0,,,Toronto Raptors
18,2015-10-29,Memphis Grizzlies,112.0,Indiana Pacers,103.0,0.0,0.0,Memphis Grizzlies
19,2015-10-29,Dallas Mavericks,88.0,Los Angeles Clippers,104.0,0.0,0.0,Los Angeles Clippers
20,2015-10-29,Atlanta Hawks,112.0,New York Knicks,101.0,1.0,0.0,Atlanta Hawks
21,2015-10-30,Charlotte Hornets,94.0,Atlanta Hawks,97.0,1.0,0.0,Atlanta Hawks
22,2015-10-30,Toronto Raptors,113.0,Boston Celtics,103.0,1.0,1.0,Toronto Raptors
23,2015-10-30,Miami Heat,92.0,Cleveland Cavaliers,102.0,1.0,1.0,Cleveland Cavaliers
24,2015-10-30,Minnesota Timberwolves,95.0,Denver Nuggets,78.0,1.0,1.0,Minnesota Timberwolves
25,2015-10-30,Chicago Bulls,94.0,Detroit Pistons,98.0,1.0,1.0,Detroit Pistons
26,2015-10-30,Golden State Warriors,112.0,Houston Rockets,92.0,2.0,1.0,Golden State Warriors
27,2015-10-30,Washington Wizards,118.0,Milwaukee Bucks,113.0,1.0,1.0,Washington Wizards
28,2015-10-30,Oklahoma City Thunder,139.0,Orlando Magic,136.0,1.0,1.0,Oklahoma City Thunder
29,2015-10-30,Utah Jazz,99.0,Philadelphia 76ers,71.0,1.0,1.0,Utah Jazz
30,2015-10-30,Portland Trail Blazers,92.0,Phoenix Suns,110.0,1.0,1.0,Phoenix Suns
31,2015-10-30,Los Angeles Lakers,114.0,Sacramento Kings,132.0,1.0,1.0,Sacramento Kings
32,2015-10-30,Brooklyn Nets,75.0,San Antonio Spurs,102.0,1.0,1.0,San Antonio Spurs
33,2015-10-31,Utah Jazz,97.0,Indiana Pacers,76.0,0.0,1.0,Utah Jazz
34,2015-10-31,Sacramento Kings,109.0,Los Angeles Clippers,114.0,0.0,1.0,Los Angeles Clippers
35,2015-10-31,Brooklyn Nets,91.0,Memphis Grizzlies,101.0,0.0,1.0,Memphis Grizzlies
36,2015-10-31,Golden State Warriors,134.0,New Orleans Pelicans,120.0,0.0,2.0,Golden State Warriors
37,2015-10-31,Phoenix Suns,101.0,Portland Trail Blazers,90.0,0.0,0.0,Phoenix Suns
38,2015-10-31,New York Knicks,117.0,Washington Wizards,110.0,1.0,0.0,New York Knicks
40,2015-11-01,San Antonio Spurs,95.0,Boston Celtics,87.0,1.0,1.0,San Antonio Spurs
41,2015-11-01,Orlando Magic,87.0,Chicago Bulls,92.0,1.0,1.0,Chicago Bulls
42,2015-11-01,Atlanta Hawks,94.0,Charlotte Hornets,92.0,1.0,1.0,Atlanta Hawks
43,2015-11-01,Dallas Mavericks,103.0,Los Angeles Lakers,93.0,2.0,1.0,Dallas Mavericks
44,2015-11-01,Houston Rockets,89.0,Miami Heat,109.0,1.0,1.0,Miami Heat
45,2015-11-01,Denver Nuggets,93.0,Oklahoma City Thunder,117.0,1.0,1.0,Oklahoma City Thunder
46,2015-11-01,Milwaukee Bucks,87.0,Toronto Raptors,106.0,1.0,1.0,Toronto Raptors
47,2015-11-02,Milwaukee Bucks,103.0,Brooklyn Nets,96.0,0.0,1.0,Milwaukee Bucks
48,2015-11-02,Memphis Grizzlies,69.0,Golden State Warriors,119.0,1.0,1.0,Golden State Warriors
49,2015-11-02,Oklahoma City Thunder,105.0,Houston Rockets,110.0,0.0,0.0,Houston Rockets
50,2015-11-02,Phoenix Suns,96.0,Los Angeles Clippers,102.0,1.0,1.0,Los Angeles Clippers
51,2015-11-02,Portland Trail Blazers,106.0,Minnesota Timberwolves,101.0,1.0,2.0,Portland Trail Blazers
52,2015-11-02,San Antonio Spurs,94.0,New York Knicks,84.0,0.0,1.0,San Antonio Spurs
53,2015-11-02,Cleveland Cavaliers,107.0,Philadelphia 76ers,100.0,2.0,2.0,Cleveland Cavaliers
54,2015-11-03,Chicago Bulls,105.0,Charlotte Hornets,130.0,1.0,1.0,Charlotte Hornets
55,2015-11-03,Toronto Raptors,102.0,Dallas Mavericks,91.0,1.0,1.0,Toronto Raptors
56,2015-11-03,Indiana Pacers,94.0,Detroit Pistons,82.0,2.0,3.0,Indiana Pacers
57,2015-11-03,Denver Nuggets,120.0,Los Angeles Lakers,109.0,1.0,1.0,Denver Nuggets
58,2015-11-03,Atlanta Hawks,98.0,Miami Heat,92.0,1.0,1.0,Atlanta Hawks
59,2015-11-03,Orlando Magic,103.0,New Orleans Pelicans,94.0,1.0,2.0,Orlando Magic
60,2015-11-03,Memphis Grizzlies,103.0,Sacramento Kings,89.0,0.0,2.0,Memphis Grizzlies
61,2015-11-04,Brooklyn Nets,87.0,Atlanta Hawks,101.0,1.0,0.0,Atlanta Hawks
62,2015-11-04,New York Knicks,86.0,Cleveland Cavaliers,96.0,1.0,1.0,Cleveland Cavaliers
63,2015-11-04,Los Angeles Clippers,108.0,Golden State Warriors,112.0,1.0,1.0,Golden State Warriors
64,2015-11-04,Orlando Magic,114.0,Houston Rockets,119.0,0.0,1.0,Houston Rockets
65,2015-11-04,Boston Celtics,98.0,Indiana Pacers,100.0,2.0,0.0,Indiana Pacers
66,2015-11-04,Philadelphia 76ers,87.0,Milwaukee Bucks,91.0,1.0,1.0,Milwaukee Bucks
67,2015-11-04,Toronto Raptors,103.0,Oklahoma City Thunder,98.0,0.0,1.0,Toronto Raptors
68,2015-11-04,Sacramento Kings,97.0,Phoenix Suns,118.0,0.0,1.0,Phoenix Suns
69,2015-11-04,Portland Trail Blazers,108.0,Utah Jazz,92.0,1.0,3.0,Portland Trail Blazers
70,2015-11-04,San Antonio Spurs,99.0,Washington Wizards,102.0,1.0,3.0,Washington Wizards
71,2015-11-05,Oklahoma City Thunder,98.0,Chicago Bulls,104.0,0.0,1.0,Chicago Bulls
72,2015-11-05,Charlotte Hornets,108.0,Dallas Mavericks,94.0,1.0,1.0,Charlotte Hornets
73,2015-11-05,Utah Jazz,96.0,Denver Nuggets,84.0,0.0,1.0,Utah Jazz
74,2015-11-05,Miami Heat,96.0,Minnesota Timberwolves,84.0,1.0,2.0,Miami Heat
75,2015-11-05,Memphis Grizzlies,96.0,Portland Trail Blazers,115.0,1.0,0.0,Portland Trail Blazers
76,2015-11-06,Washington Wizards,98.0,Boston Celtics,118.0,1.0,1.0,Boston Celtics
77,2015-11-06,Los Angeles Lakers,104.0,Brooklyn Nets,98.0,2.0,1.0,Los Angeles Lakers
78,2015-11-06,Philadelphia 76ers,102.0,Cleveland Cavaliers,108.0,1.0,1.0,Cleveland Cavaliers
79,2015-11-06,Denver Nuggets,104.0,Golden State Warriors,119.0,0.0,1.0,Golden State Warriors
80,2015-11-06,Miami Heat,87.0,Indiana Pacers,90.0,0.0,1.0,Indiana Pacers
81,2015-11-06,Atlanta Hawks,121.0,New Orleans Pelicans,115.0,1.0,2.0,Atlanta Hawks
82,2015-11-06,Milwaukee Bucks,99.0,New York Knicks,92.0,1.0,1.0,Milwaukee Bucks
83,2015-11-06,Toronto Raptors,87.0,Orlando Magic,92.0,1.0,1.0,Orlando Magic
84,2015-11-06,Detroit Pistons,100.0,Phoenix Suns,92.0,2.0,1.0,Detroit Pistons
85,2015-11-06,Houston Rockets,116.0,Sacramento Kings,110.0,1.0,1.0,Houston Rockets
86,2015-11-07,Washington Wizards,99.0,Atlanta Hawks,114.0,0.0,0.0,Atlanta Hawks
87,2015-11-07,Minnesota Timberwolves,102.0,Chicago Bulls,93.0,1.0,1.0,Minnesota Timberwolves
88,2015-11-07,New Orleans Pelicans,98.0,Dallas Mavericks,107.0,0.0,1.0,Dallas Mavericks
89,2015-11-07,Houston Rockets,109.0,Los Angeles Clippers,105.0,0.0,2.0,Houston Rockets
90,2015-11-07,Brooklyn Nets,86.0,Milwaukee Bucks,94.0,0.0,0.0,Milwaukee Bucks
91,2015-11-07,Orlando Magic,105.0,Philadelphia 76ers,97.0,0.0,0.0,Orlando Magic
92,2015-11-07,Golden State Warriors,103.0,Sacramento Kings,94.0,0.0,0.0,Golden State Warriors
93,2015-11-07,Charlotte Hornets,94.0,San Antonio Spurs,114.0,1.0,2.0,San Antonio Spurs
94,2015-11-07,Memphis Grizzlies,79.0,Utah Jazz,89.0,1.0,1.0,Utah Jazz
95,2015-11-08,Indiana Pacers,97.0,Cleveland Cavaliers,101.0,1.0,1.0,Cleveland Cavaliers
96,2015-11-08,Toronto Raptors,76.0,Miami Heat,96.0,1.0,1.0,Miami Heat
97,2015-11-08,Los Angeles Lakers,95.0,New York Knicks,99.0,1.0,1.0,New York Knicks
98,2015-11-08,Phoenix Suns,103.0,Oklahoma City Thunder,124.0,1.0,2.0,Oklahoma City Thunder
99,2015-11-08,Detroit Pistons,120.0,Portland Trail Blazers,103.0,1.0,2.0,Detroit Pistons
100,2015-11-09,Minnesota Timberwolves,117.0,Atlanta Hawks,107.0,1.0,1.0,Minnesota Timberwolves
101,2015-11-09,Portland Trail Blazers,104.0,Denver Nuggets,108.0,0.0,2.0,Denver Nuggets
102,2015-11-09,Detroit Pistons,95.0,Golden State Warriors,109.0,0.0,1.0,Golden State Warriors
103,2015-11-09,Orlando Magic,84.0,Indiana Pacers,97.0,1.0,0.0,Indiana Pacers
104,2015-11-09,Memphis Grizzlies,92.0,Los Angeles Clippers,94.0,1.0,1.0,Los Angeles Clippers
105,2015-11-09,Chicago Bulls,111.0,Philadelphia 76ers,88.0,1.0,1.0,Chicago Bulls
106,2015-11-09,San Antonio Spurs,106.0,Sacramento Kings,88.0,1.0,1.0,San Antonio Spurs
107,2015-11-10,Utah Jazz,114.0,Cleveland Cavaliers,118.0,2.0,1.0,Cleveland Cavaliers
108,2015-11-10,Los Angeles Lakers,88.0,Miami Heat,101.0,1.0,1.0,Miami Heat
109,2015-11-10,Boston Celtics,99.0,Milwaukee Bucks,83.0,3.0,2.0,Boston Celtics
110,2015-11-10,Charlotte Hornets,104.0,Minnesota Timberwolves,95.0,2.0,0.0,Charlotte Hornets
111,2015-11-10,Dallas Mavericks,105.0,New Orleans Pelicans,120.0,2.0,2.0,New Orleans Pelicans
112,2015-11-10,New York Knicks,111.0,Toronto Raptors,109.0,1.0,1.0,New York Knicks
113,2015-11-10,Oklahoma City Thunder,125.0,Washington Wizards,101.0,1.0,2.0,Oklahoma City Thunder
114,2015-11-11,New Orleans Pelicans,98.0,Atlanta Hawks,106.0,0.0,1.0,Atlanta Hawks
115,2015-11-11,Indiana Pacers,102.0,Boston Celtics,91.0,1.0,0.0,Indiana Pacers
116,2015-11-11,New York Knicks,93.0,Charlotte Hornets,95.0,0.0,0.0,Charlotte Hornets
117,2015-11-11,Los Angeles Clippers,108.0,Dallas Mavericks,118.0,1.0,0.0,Dallas Mavericks
118,2015-11-11,Milwaukee Bucks,102.0,Denver Nuggets,103.0,0.0,1.0,Denver Nuggets
119,2015-11-11,Brooklyn Nets,106.0,Houston Rockets,98.0,3.0,3.0,Brooklyn Nets
120,2015-11-11,Golden State Warriors,100.0,Memphis Grizzlies,84.0,1.0,1.0,Golden State Warriors
121,2015-11-11,Los Angeles Lakers,99.0,Orlando Magic,101.0,0.0,1.0,Orlando Magic
122,2015-11-11,Toronto Raptors,119.0,Philadelphia 76ers,103.0,0.0,1.0,Toronto Raptors
123,2015-11-11,San Antonio Spurs,113.0,Portland Trail Blazers,101.0,1.0,1.0,San Antonio Spurs
124,2015-11-11,Detroit Pistons,92.0,Sacramento Kings,101.0,1.0,1.0,Sacramento Kings
125,2015-11-12,Utah Jazz,91.0,Miami Heat,92.0,1.0,1.0,Miami Heat
126,2015-11-12,Golden State Warriors,129.0,Minnesota Timberwolves,116.0,0.0,1.0,Golden State Warriors
127,2015-11-12,Los Angeles Clippers,104.0,Phoenix Suns,118.0,0.0,3.0,Phoenix Suns
128,2015-11-13,Atlanta Hawks,93.0,Boston Celtics,106.0,1.0,1.0,Boston Celtics
129,2015-11-13,Charlotte Hornets,97.0,Chicago Bulls,102.0,1.0,3.0,Chicago Bulls
130,2015-11-13,Los Angeles Lakers,82.0,Dallas Mavericks,90.0,1.0,1.0,Dallas Mavericks
